book_id,title,author,出版社,出版时间,数,价格,ISBM,评分,评论数量,user_id
4066,咖啡时间,丰田彻也, 台湾东立出版社, 2010/8/30,207, 120台币,9.79E+12,8.2,111,30944
4067,日本電影的巨匠們,佐藤忠男, 志文出版社,1987,256, 120台币,None,7.9,54,31305
4068,惡魔蛙男 1,巴亮介, 台灣東販, 2015/3/15,240, 120NT,9.79E+12,8.1,44,32055
4069,奇人画報,駕籠真太郎, 太田出版, 2004/05/20,None, 1200円＋税,9.78E+12,8.3,165,32923
4070,スクラップホリックの本,永岡 綾, エディシォンドゥパリ, 2010/02, 79ページ, 1200E,9.78E+12,8.7,44,33697
4071,寫給愛人的話,三毛, 皇冠文化,29068,200,120,9.79E+12,0,None,33716
4072,高原的百合花,三毛, 皇冠杂志社, 1993/6月初版,184,120,9.79E+12,8.5,665,34531
4073,Saul Leiter,Saul Leiter, Actes Sud,2007,64, 12.80os,9.78E+12,9.4,20,35259
4074,老人与海,[美国] 欧内斯特·海明威, 漓江出版社, 1997/2,390, 12.00/17.00,9.79E+12,8.5,102,35326
4075,最小说映刻2009.01,郭敬明, 长江文艺出版社, 2009/1/15,128," 12,80",None,6.4,28,35780
4076,L'insoutenable légèreté de l'être,Milan Kundera, Gallimard,1984,475," 12,50",9.78E+12,9.7,24,36099
4077,回家吃饭的智慧（全新修订典藏版 上、中、下三册）,陈允斌, 吉林科学技术出版社, 2016/5,736, 118.00（全三册）,9.79E+12,8.5,18,36695
4078,激色猫小叮当,藤子A熊, 萤火虫, 2005/8/10,90, 110NT,9.79E+12,6.9,493,37035
4079,小さな動物たち,須佐沙知子, 主婦の友社,None,71, 1100円,9.78E+12,0,None,37153
4080,日常 1,あらゐけいいち, 臺灣國際角川書店股份有限公司, 2008/8/1,178, 110/35,9.79E+12,9.1,316,38082
4081,天體戰士(01),くぼたまこと, 東立出版社有限公司,39160,None, 110/35,9.79E+12,9.1,179,40251
4082,ZONE-00,九条キヨ, 台灣國際角川書店股份有限公司, 2008/01/22,180, 110/35,9.79E+12,8.6,85,40490
4083,危險調查員(01),原作：勝鹿北星, 尖端, 1996/7/1,216, 110(),9.79E+12,8.7,283,40566
4084,薩德候爵-古典異色名作集1,千之刃, 東立, 2008/6月2 日,None, 110(),9.79E+12,6.9,242,43300
4085,物理学和哲学,[德] W. 海森堡, 商务印书馆, 1999/5/1,224, 11。4,9.79E+12,8.9,135,43602
4086,Ghost World,Daniel Clowes, Fantagraphics Books, 2001/4/1,80, 11.95美,9.78E+12,8.9,131,43985
4087,アジアで花咲け!  なでしこたち たかぎなおこが海外の働き女子に出会う旅,たかぎなおこ&NHK取材班, メディアファクトリー, 2012/4/27,107, 1050円（税込）,9.78E+12,0,None,45269
4088,Majun,川内倫子, Foil, 2007/6,10, 1050円(本体1000円),9.78E+12,8.8,47,45493
4089,Loveカメラ (Vol.4),None, 宝島社, 2006/5,None, 1050円,9.78E+12,8.2,103,46139
4090,守護她的51種方法01,古屋兔丸, 東立,39468,None, 105 (),9.79E+12,8.4,781,48291
4091,设计是什么,Michael Kroeger, 原點,2010,90, 102.83(TW260.00),9.79E+12,8.2,138,48297
4092,法國廚神的自然風家庭料理,阿朗．杜卡斯, 朱雀,None,360, 1000台币,9.79E+12,0,None,48687
4093,ブックカバーの本,None, 雄雞社株式會社, 2005/,86, 1000日,9.78E+12,8.2,56,49288
4094,考试虫系列 床头灯英语学习读本,查尔斯.狄更斯, 航空工业出版社, 2004/6,215, 100.00(全10册),9.79E+12,7.9,20,49289
4095,漩涡,伊藤潤二, 東立, 民88,208, 100(),9.79E+12,8.9,9637,49295
4096,魚2,伊藤潤二, 東立,None,None, 100(),9.79E+12,8.8,2570,49297
4097,漩渦2,伊藤潤二, 東立,None,200, 100(),9.79E+12,9.2,2359,49382
4098,20世紀少年18,浦沢直樹, 東立,None,206, 100(),9.79E+12,9.4,1619,49830
4099,隧道奇譚,伊藤潤二, 東立,None,None, 100(),9.79E+12,8.7,617,50593
4100,隨想,三毛, 皇冠文化出版有限公司, 1985/03/01,128,100,9.79E+12,0,None,51166
4101,Lettre d'une inconnue,Stefan Zweig, Stock,2009,105,10,9.78E+12,7.8,12,51460
4102,从彼得堡到斯德哥尔摩,约瑟夫·布罗茨基, 漓江出版社,1990,580, 10.15（平）、15.65（精）,9.79E+12,8.7,108,52036
4103,设计素描,None, 上海人民美术出版社, 1985/5月第一版,94, 1\95,None,8,17,52740
4104,晚清宫廷生活见闻,全国政协文史资料研究会编, 文史资料出版社, 1982/,361, 1。30,None,7.9,103,52929
4105,花镜,[清初] 陈淏子 辑, 农业出版社, 1979/12,452, 1.90/2.85,None,9.4,151,53145
4106,英国现代诗选,None, 湖南人民出版社, 1985/5,219, 1.25/2.05,None,9.1,136,53292
